fancigul,fanciful
dawcon,dawson
deffnces,defences
landashire,lancashire
judaosm,judaism
vigouf,vigour
apostilic,apostolic
mercurh,mercury
compaxt,compact
magnetjsm,magnetism
prated,prayed
deitiws,deities
ratidied,ratified
laugence,laurence
willihg,willing
bacchhs,bacchus
corgupt,corrupt
notwkthstanding,notwithstanding
whedeon,whereon
whiakers,whiskers
rowlajd,rowland
degradjng,degrading
prosttate,prostrate
convenkence,convenience
foldinf,folding
saxkny,saxony
disclksed,disclosed
secrstly,secretly
ordral,ordeal
transportztion,transportation
thinkimg,thinking
palqces,palaces
concined,confined
towadds,towards
wismed,wished
allkws,allows
kisxed,kissed
bicyclr,bicycle
alwqys,always
sevengy,seventy
assumptiom,assumption
revoly,revolt
unlockef,unlocked
elenents,elements
solituds,solitude
imagihable,imaginable
stiffebed,stiffened
ornamentwl,ornamental
strove,strive
nortln,norton
cushomers,customers
antkny,antony
foliow,follow
spribgfield,springfield
peopie,people
desoiate,desolate
lodnes,lodges
honohr,honour
temperer,tempered
tesfimony,testimony
wicoed,wicked
shrubbsry,shrubbery
woodpand,woodland
essehtial,essential
encposure,enclosure
verdicg,verdict
terdibly,terribly
progrwss,progress
underyaken,undertaken
essentoally,essentially
addiyion,addition
carthqge,carthage
augusths,augustus
desfend,descend
convsrse,converse
peckliarly,peculiarly
mountaun,mountain
auntif,auntie
refjsed,refused
profesting,protesting
pirqtes,pirates
insurznce,insurance
birthsay,birthday
hancle,handle
goldsmitj,goldsmith
sopmie,sophie
compfl,compel
guarwntee,guarantee
drunkrnness,drunkenness
predictlon,prediction
isaoah,isaiah
storjs,storms
detsstable,detestable
annouhce,announce
contradixtion,contradiction
severitt,severity
abuaed,abused
envird,envied
quartsr,quarter
safdty,safety
sumpguous,sumptuous
replacf,replace
flankz,flanks
pregent,prevent
desxendants,descendants
hanger,hanged
shiwlds,shields
philpsophers,philosophers
acclunted,accounted
lurling,lurking
oswsld,oswald
clober,clover
jourjal,journal
bathinh,bathing
subnarine,submarine
puzzljng,puzzling
genwrous,generous
selectioj,selection
torturds,tortures
coagse,coarse
survryed,surveyed
gamgler,gambler
